Table Name,Time Elapsed (seconds)
customer,47.22158241271973
lineitem,3640.7111587524414
nation,0.006750822067260742
orders,503.52972435951233
part,83.06343531608582
partsupp,229.04746341705322
region,0.005558013916015625
supplier,2.7658755779266357
customer,48.089519739151
lineitem,3584.4474737644196
nation,0.014170646667480469
orders,547.2794239521027
part,91.07805800437927
partsupp,237.46699929237366
region,0.0057811737060546875
supplier,2.6012914180755615
customer,45.48275136947632
lineitem,3673.658604860306
nation,0.005975246429443359
orders,590.848522901535
part,67.16421937942505
partsupp,237.0779252052307
region,0.005082368850708008
supplier,4.699467182159424
customer,45.72741389274597
lineitem,3687.464769601822
nation,0.0050389766693115234
orders,542.80810546875
part,81.82537293434143
partsupp,240.89960074424744
region,0.00519871711730957
supplier,2.7365427017211914
customer,45.81881904602051
lineitem,3588.1379981040955
nation,0.005341291427612305
orders,605.0541951656342
part,85.02554631233215
partsupp,295.8672134876251
region,0.004900693893432617
supplier,2.4877209663391113
customer,44.4851348400116
lineitem,3553.44726061821
nation,0.0054166316986083984
orders,555.3555707931519
part,78.26555871963501
partsupp,255.58094239234924
region,0.005155801773071289
supplier,2.858457565307617
