Run, PostgresBulk, MysqlBatch,customer,lineitem,nation,orders,part,partsupp,region,supplier,Total Elapsed
Run 0, PostgresBulk 1000, MysqlBatch 1000,5.3255486488342285,380.61166501045227,0.11704373359680176,54.862197399139404,13.890048503875732,26.961052179336548,0.004220008850097656,0.26976633071899414,482.0442304611206
Run 1, PostgresBulk 1000, MysqlBatch 1000,5.219010829925537,367.3147737979889,0.13434624671936035,73.53865242004395,8.474075555801392,22.81461191177368,0.004655361175537109,0.2787494659423828,477.7872202396393
Run 2, PostgresBulk 1000, MysqlBatch 1000,4.821648359298706,390.33571195602417,0.012889623641967773,72.42125415802002,6.141516923904419,22.64668917655945,0.0050661563873291016,0.2685413360595703,496.6563034057617
Run 3, PostgresBulk 1000, MysqlBatch 1000,5.022235631942749,368.82904982566833,0.005297183990478516,64.76309847831726,7.850709438323975,21.89441967010498,0.005037546157836914,14.660295009613037,483.03313088417053
Run 4, PostgresBulk 1000, MysqlBatch 1000,7.2774553298950195,351.9285292625427,0.005360841751098633,71.74418520927429,6.726027250289917,21.772573947906494,0.0044574737548828125,0.3753068447113037,459.83654260635376
Run 0, PostgresBulk 1000, MysqlBatch 5000,5.5387351512908936,358.8537902832031,0.004783153533935547,87.56120324134827,6.106916666030884,20.53615164756775,0.004338979721069336,0.2783064842224121,478.88704109191895
Run 1, PostgresBulk 1000, MysqlBatch 5000,5.1934003829956055,409.9656994342804,0.005066871643066406,70.20107007026672,8.738381147384644,22.887928009033203,0.004202604293823242,0.27497029304504395,517.2850549221039
Run 2, PostgresBulk 1000, MysqlBatch 5000,8.38732385635376,402.4553322792053,0.005151510238647461,69.74975109100342,27.227030038833618,23.974945545196533,0.005396604537963867,0.269420862197876,532.0776679515839
Run 3, PostgresBulk 1000, MysqlBatch 5000,5.133199691772461,403.45037841796875,0.007308006286621094,72.86556220054626,8.89950942993164,18.293713092803955,0.004485368728637695,0.27243614196777344,508.9294123649597
Run 4, PostgresBulk 1000, MysqlBatch 5000,4.670125246047974,400.0093722343445,0.005287647247314453,82.79527354240417,6.129908323287964,40.11515927314758,0.004003047943115234,0.27048659324645996,534.0027737617493
Run 0, PostgresBulk 1000, MysqlBatch 10000,5.2389280796051025,384.328325510025,0.0053424835205078125,96.7931182384491,6.187464714050293,17.89107060432434,0.0045549869537353516,0.27413296699523926,510.72582030296326
Run 1, PostgresBulk 1000, MysqlBatch 10000,5.139529228210449,359.3501513004303,0.00482177734375,97.02910780906677,8.259533882141113,20.414613485336304,0.004317760467529297,0.38201212882995605,490.5868601799011
Run 2, PostgresBulk 1000, MysqlBatch 10000,5.142883539199829,374.7656784057617,0.004590034484863281,78.85162091255188,11.599829912185669,17.78212022781372,0.004107475280761719,0.2858240604400635,488.4393262863159
Run 3, PostgresBulk 1000, MysqlBatch 10000,4.723718166351318,393.74630665779114,0.0049495697021484375,70.56798982620239,6.598206520080566,46.06924867630005,0.005388021469116211,0.3293161392211914,522.0477528572083
Run 4, PostgresBulk 1000, MysqlBatch 10000,5.106435537338257,358.74245429039,0.005135059356689453,76.78009843826294,6.285189867019653,24.933847665786743,0.0049097537994384766,0.3836684226989746,472.2444097995758
Run 0, PostgresBulk 1000, MysqlBatch 20000,5.3571860790252686,365.995059967041,0.004754304885864258,78.27633023262024,8.614109754562378,45.302908420562744,0.0048675537109375,0.27429866790771484,503.83241152763367
Run 1, PostgresBulk 1000, MysqlBatch 20000,5.449904441833496,363.63256645202637,0.005289316177368164,62.573742151260376,6.741377592086792,21.810255527496338,0.004864931106567383,0.2768380641937256,460.4977102279663
Run 2, PostgresBulk 1000, MysqlBatch 20000,5.4014668464660645,394.0291051864624,0.00450897216796875,58.66513395309448,6.902451038360596,44.14020371437073,0.004702091217041016,0.27226805686950684,509.42261934280396
Run 3, PostgresBulk 1000, MysqlBatch 20000,4.8140459060668945,412.8840410709381,0.005416393280029297,70.61828088760376,12.028088569641113,45.14938569068909,0.01251363754272461,0.27506160736083984,545.7896409034729
Run 4, PostgresBulk 1000, MysqlBatch 20000,4.85657262802124,395.3370180130005,0.005135774612426758,69.43573427200317,6.280719757080078,41.14521551132202,0.0046749114990234375,0.270463228225708,517.3383264541626
Run 0, PostgresBulk 1000, MysqlBatch 50000,5.206298112869263,413.69929242134094,0.004258871078491211,78.62921071052551,6.820736646652222,44.505366802215576,0.00496363639831543,0.2731657028198242,549.1459395885468
Run 1, PostgresBulk 1000, MysqlBatch 50000,5.232012033462524,424.7898941040039,0.007449150085449219,80.35799360275269,10.87734580039978,23.19634509086609,0.005022764205932617,0.27459239959716797,544.7436127662659
Run 2, PostgresBulk 1000, MysqlBatch 50000,5.665358304977417,376.656405210495,0.004470348358154297,58.79005765914917,6.806407690048218,41.95816135406494,0.004193782806396484,0.27330493927001953,490.16110825538635
Run 3, PostgresBulk 1000, MysqlBatch 50000,5.783628702163696,378.073495388031,0.005223989486694336,79.0180971622467,7.359081983566284,20.399802684783936,0.004778623580932617,0.27547144889831543,490.92241525650024
Run 4, PostgresBulk 1000, MysqlBatch 50000,5.347136735916138,377.45046877861023,0.004788637161254883,84.16055655479431,7.970728397369385,42.97909641265869,0.004660844802856445,0.2789757251739502,518.1991653442383
Run 0, PostgresBulk 1000, MysqlBatch 100000,6.017368793487549,402.2452714443207,0.005206108093261719,88.01565456390381,7.671496868133545,29.45201086997986,0.004915714263916016,0.27312588691711426,533.687881231308
