Run Number, Postgres Bulk, Mysql Batch,customer,lineitem,nation,orders,part,partsupp,region,supplier,Total Elapsed
0,20000,1000,45.14585208892822,3599.343010187149,0.004987001419067383,706.6484308242798,84.48149156570435,298.51487946510315,0.016408205032348633,19.03963613510132,4753.203772068024
1,20000,1000,46.06465458869934,3645.9515693187714,0.005141735076904297,643.2641770839691,96.64461827278137,326.5221281051636,0.005127429962158203,2.3786685466766357,4760.850606679916
2,20000,1000,57.58555507659912,3646.3171570301056,0.0052337646484375,642.7503545284271,70.66859030723572,347.7664794921875,0.0051915645599365234,2.3675317764282227,4767.688090085983
3,20000,1000,91.69711661338806,3613.455106496811,0.007090568542480469,593.523695230484,71.38739275932312,312.78048849105835,0.004878997802734375,2.3681819438934326,4685.231223344803
4,20000,1000,52.81849932670593,3482.1698565483093,0.0058727264404296875,581.7478713989258,96.74586868286133,286.53234124183655,0.00458216667175293,2.350019931793213,4502.744809150696
5,20000,1000,45.49942421913147,3629.3533577919006,0.005592823028564453,632.7202887535095,96.11122345924377,333.898047208786,0.004825115203857422,2.3532800674438477,4740.330993652344
6,20000,1000,71.17443013191223,5230.0086216926575,0.005493879318237305,757.2941699028015,88.22854971885681,445.64347195625305,0.8628878593444824,18.960103511810303,6612.571174383163
7,20000,1000,63.329275608062744,3792.7848913669586,0.005238771438598633,676.9150931835175,106.65740251541138,431.49612069129944,0.01818060874938965,4.128103494644165,5075.490938425064
8,20000,1000,66.2175645828247,3682.810736179352,0.005041360855102539,749.8144836425781,109.57577466964722,404.5005624294281,0.004734039306640625,2.3512954711914062,5015.283173084259
9,20000,1000,67.55471420288086,6841.89044213295,0.07842302322387695,688.6770939826965,78.9666223526001,331.61456274986267,0.07627201080322266,15.166940450668335,8024.063761711121
10,20000,1000,64.93110060691833,4502.055723667145,0.025661945343017578,681.6369330883026,94.88941240310669,376.2211666107178,0.005808353424072266,2.5542547702789307,5722.652905464172
11,20000,1000,82.20472550392151,4002.771604537964,0.005443572998046875,746.8591225147247,101.32935643196106,381.98318886756897,0.006287097930908203,2.353010416030884,5317.5166182518005
12,20000,1000,73.1120183467865,4012.0136754512787,0.011347293853759766,645.3567533493042,81.96147847175598,397.0332176685333,0.04403328895568848,14.733101844787598,5224.341763496399
13,20000,1000,82.62626099586487,4191.908500909805,0.00479435920715332,834.6205546855927,137.42030310630798,472.6497857570648,0.27625417709350586,16.593385696411133,5736.365608692169
14,20000,1000,64.3477783203125,4161.599315643311,0.03285384178161621,1001.0556335449219,119.52768301963806,616.9012463092804,0.0059969425201416016,2.3565521240234375,5965.956460475922
